Designator,Mid X,Mid Y,Rotation,Layer
_21,149.49,-61.07,0.0,top
_20,146.95,-61.07,0.0,top
_19,149.49,-63.61,0.0,top
_18,146.95,-63.61,0.0,top
_17,146.95,-55.99,0.0,top
_16,149.49,-55.99,0.0,top
_15,102.9662,-91.8238,0.0,top
_14,97.8354,-107.1908,0.0,top
_13,97.8862,-91.8238,0.0,top
_12,110.5608,-107.2416,0.0,top
_11,90.2662,-91.8238,0.0,top
_10,108.0208,-107.2416,0.0,top
_9,100.3754,-107.1908,0.0,top
_8,92.7554,-107.1908,0.0,top
_7,90.2154,-107.1908,0.0,top
_6,87.6754,-107.1908,0.0,top
_5,87.7262,-91.8238,0.0,top
_4,100.4262,-91.8238,0.0,top
_3,95.2954,-107.1908,0.0,top
_2,149.49,-58.53,0.0,top
,146.95,-58.53,0.0,top
A1,104.16,-99.52,0.0,top
ADS1115,98.09,-72.18,270.0,top
C1,68.85,-70.89,180.0,top
C2,70.14,-82.65,180.0,top
DRV8871,100.558446,-117.632992,180.0,top
J1,143.09,-75.93,270.0,top
J2,78.09,-67.18,180.0,top
J3,143.09,-130.93,270.0,top
J4,118.52,-123.54,180.0,top
J5,118.52,-133.7,180.0,top
J6,143.09,-98.43,270.0,top
J7,143.09,-115.93,270.0,top
L4931CZ50,70.08,-75.04,180.0,top
RTC1,123.29,-77.57,0.0,top
SD1,83.21,-124.68,90.0,top
